make_year,mileage_kmpl,engine_cc,fuel_type,owner_count,price_usd,brand,transmission,color,service_history,accidents_reported,insurance_valid
2001,8.17,4000,Petrol,4,8587.64,Chevrolet,Manual,White,None,0,No
2014,17.59,1500,Petrol,4,5943.5,Honda,Manual,Black,None,0,Yes
2023,18.09,2500,Diesel,5,9273.58,BMW,Automatic,Black,Full,1,Yes
2009,11.28,800,Petrol,1,6836.24,Hyundai,Manual,Blue,Full,0,Yes
2005,12.23,1000,Petrol,2,4625.79,Nissan,Automatic,Red,Full,0,Yes
2002,13.77,2500,Diesel,4,6856.03,BMW,Manual,Gray,Full,1,Yes
2023,12.5,1000,Petrol,3,6806.77,BMW,Manual,Red,Full,0,Yes
2015,17.46,2000,Diesel,5,7701.84,BMW,Manual,Blue,None,0,Yes
2001,14.99,5000,Diesel,2,8730.52,Tesla,Manual,Silver,Partial,1,No
2020,19.59,4000,Petrol,4,10812.16,Chevrolet,Automatic,White,Partial,0,Yes
2013,21.25,1800,Petrol,2,10070.16,BMW,Automatic,Red,None,0,No
2017,20.91,5000,Diesel,5,9638.93,Toyota,Manual,Silver,Partial,0,Yes
2005,15.95,2500,Petrol,3,5543.9,Kia,Manual,Black,Full,1,Yes
2005,19.42,800,Petrol,4,5855.47,Hyundai,Automatic,Silver,Full,0,Yes
2018,23.18,3000,Diesel,3,9773.77,Hyundai,Automatic,Blue,Full,0,Yes
2015,20.23,4000,Diesel,5,9468.89,Kia,Manual,White,Full,1,Yes
1998,27.29,1800,Petrol,3,6491.29,Tesla,Automatic,Gray,None,2,Yes
2002,22.91,2000,Diesel,5,6202.99,Kia,Automatic,Red,Partial,1,Yes
2018,26.59,3000,Diesel,3,9921.66,Kia,Manual,Blue,Full,0,Yes
1997,5.54,1500,Diesel,2,1223.8,Chevrolet,Automatic,Black,Partial,1,Yes
2016,18.48,1000,Diesel,2,5591.11,Tesla,Automatic,Black,Full,1,Yes
2015,16.38,5000,Electric,5,13054.69,BMW,Automatic,Gray,Full,0,Yes
1996,17.38,3000,Petrol,2,5209.92,Chevrolet,Manual,White,Full,1,No
2018,13.98,1000,Petrol,3,4916.24,Tesla,Automatic,Gray,None,0,Yes
2006,19.98,1800,Petrol,3,5906.84,Kia,Manual,Gray,Full,0,Yes
2000,8.96,2000,Petrol,4,2626.29,Volkswagen,Automatic,Gray,None,0,No
1996,20.02,1800,Petrol,5,5167.78,Kia,Manual,Red,Partial,0,Yes
2022,14.14,2000,Petrol,2,7992.87,BMW,Manual,Black,Partial,1,Yes
