CODIGO	FUENTE	PROV	DPTO	DIST	X	Y
9700083	API	AREQUIPA	AREQUIPA	VITOR	-71.9389	-16.466
9700813	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.53622088	-16.395467094
9702087	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.037315168	-8.128068702
9701858	API	AREQUIPA	AREQUIPA	CAYMA	-71.549208365	-16.3924855
9700022	API	AREQUIPA	AREQUIPA	SOCABAYA	-71.52463542	-16.441261703
9701453	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.01155651	-8.10724079
9701816	WBS					
9701160	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.035670923	-8.100136514
9700030	API	AREQUIPA	AREQUIPA	PAUCARPATA		
9701836	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.50520161	-16.37614911
9702180	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.005258507	-8.093353558
9700906	WBS					
9701767	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.042903997	-8.09499
9701562	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.529366576	-16.4203755
9700223	API	AREQUIPA	AREQUIPA	SOCABAYA	-71.534259075	-16.447015124
9699998	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.5270674	-16.400747753
9700303	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.018342144	-8.107980913
9700747	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.029903807	-8.114152695
9701396	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.510553597	-16.413780627
9702126	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.03865408	-8.107337051
9701703	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.531711024	-16.405677019
9701903	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.51669579	-16.4011315
9701464	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.547342716	-16.398795555
9701330	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.533780659	-16.427004045
9700333	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.017472219	-8.114334058
9700159	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.501651152	-16.4075025
9700289	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.528492921	-16.405984907
9700414	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.018669	-8.113587637
9700983	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.55184759	-16.401209
9700531	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.492660585	-16.416075822
9700171	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.531565866	-16.39527845
9703010	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.02194464	-8.108301459
9700536	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.553638865	-16.3904195
9701339	API	AREQUIPA	AREQUIPA	UCHUMAYO		
9700553	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.006200396	-8.106720401
9701603	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.523858233	-16.387259222
9700454	API	AREQUIPA	AREQUIPA	MARIANO MELGAR	-71.49059316	-16.391728399
9702206	API	AREQUIPA	AREQUIPA	JOSE BUSTAMANTE Y R.	-71.521289326	-16.4246515
9702327	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.531604168	-16.399163819
9700653	WBS					
9701465	API	ISLAY	AREQUIPA	DEAN VALDIVIA	-71.8226	-17.1464
9702303	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.551041834	-16.402826391
9701247	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.514472245	-16.400398324
9700967	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.03501389	-8.110640221
9701351	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.50069755	-16.372185
9701802	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.028473582	-8.117549589
9700744	WBS				-79.036864976	-8.110042251
9700078	API	AREQUIPA	AREQUIPA	AREQUIPA	-71.525598173	-16.411363
9700099	API	AREQUIPA	AREQUIPA	HUNTER	-71.55625949	-16.45023
9700189	API	AREQUIPA	AREQUIPA	ALTO SELVA ALEGRE	-71.529682709	-16.376469
9700327	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.494187994	-16.410560116
9699987	API	AREQUIPA	AREQUIPA	CERRO COLORADO	-71.554886061	-16.390048
9700328	API	AREQUIPA	AREQUIPA	CAYMA	-71.545224443	-16.386876444
9701071	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.519549638	-16.398106545
9701587	WBS				-79.017200229	-8.096581499
9701940	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.51937771	-16.38988549
9701065	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.026051635	-8.096416223
9700406	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.044924622	-8.092088411
9703019	API	AREQUIPA	AREQUIPA	SACHACA	-71.59304547	-16.4175595
9701830	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.52349978	-16.3939425
9702242	API	TRUJILLO	LA LIBERTAD	TRUJILLO	-79.005044149	-8.092896029
9700569	API	AREQUIPA	AREQUIPA	MIRAFLORES	-71.523603821	-16.397685238
9702205	API	AREQUIPA	AREQUIPA	PAUCARPATA	-71.486300219	-16.415341718
9701413	API	AREQUIPA	AREQUIPA	SACHACA	-71.567652515	-16.425834387
9701426	API	AREQUIPA	AREQUIPA	YANAHUARA	-71.544953944	-16.391338878
