step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFlaggedFraud,isFraud
206,CASH_OUT,53040.15,C2046331004,0.0,0.0,C783283078,203472.01,256512.17,0,0
380,TRANSFER,422081.51,C416465534,0.0,0.0,C1466525134,1001909.56,1423991.07,0,0
189,TRANSFER,363587.02,C1194353457,0.0,0.0,C1557986692,1685921.58,2049508.6,0,0
15,TRANSFER,940123.89,C602249275,51619.0,0.0,C987780401,228990.8,1779458.03,0,0
322,CASH_OUT,148338.2,C2042269722,0.0,0.0,C2011068438,541831.03,690169.23,0,0
94,CASH_OUT,376967.98,C103107987,15531.43,0.0,C1840844463,580717.84,957685.82,0,0
254,CASH_OUT,250004.2,C180862316,0.0,0.0,C2047970367,2115701.48,2365705.68,0,0
398,CASH_OUT,246530.79,C962239427,0.0,0.0,C1085809696,294835.58,541366.38,0,0
302,CASH_OUT,40614.77,C1562331610,0.0,0.0,C1991758909,597201.86,637816.63,0,0
354,CASH_OUT,162616.28,C2104103467,1604.0,0.0,C1944644392,0.0,162616.28,0,0
352,CASH_OUT,43414.77,C1065964344,13481.0,0.0,C1200736716,776220.38,819635.15,0,0
323,TRANSFER,565977.34,C698980920,0.0,0.0,C1830886516,796468.71,1362446.05,0,0
692,CASH_OUT,183400.92,C1492674996,29738.0,0.0,C1404663446,1023547.94,1206948.86,0,0
162,CASH_OUT,23448.96,C60027073,0.0,0.0,C817899036,382006.52,405455.48,0,0
378,CASH_OUT,21637.72,C875829259,69736.41,48098.7,C80534926,724424.5,746062.21,0,0
326,CASH_OUT,31804.76,C1582901936,0.0,0.0,C201714006,697850.54,729655.3,0,0
284,CASH_OUT,77170.06,C1636968865,36563.0,0.0,C748965398,503400.28,580570.34,0,0
226,CASH_OUT,166496.34,C1311411463,0.0,0.0,C1892484188,283273.34,449769.68,0,0
234,TRANSFER,121569.3,C1005265215,0.0,0.0,C1515944609,729352.28,850921.58,0,0
15,CASH_OUT,49956.87,C1428036572,21031.0,0.0,C1630261354,0.0,49956.87,0,0
212,CASH_OUT,106803.24,C579711941,0.0,0.0,C1419984027,180431.22,287234.46,0,0
141,CASH_OUT,56693.54,C222941231,7528.0,0.0,C843068491,52961.43,109654.97,0,0
188,CASH_OUT,102704.9,C1826982113,259337.0,156632.1,C1644722528,0.0,102704.9,0,0
281,CASH_OUT,167286.36,C1003899980,236468.8,69182.45,C235093639,849748.54,1017034.9,0,0
158,CASH_OUT,498978.55,C105377533,0.0,0.0,C1990742576,589470.07,1088448.63,0,0
178,TRANSFER,336384.06,C35281789,0.0,0.0,C1135752586,663870.79,1000254.85,0,0
43,TRANSFER,965825.44,C1198023693,0.0,0.0,C110819689,1860218.83,2826044.27,0,0
229,CASH_OUT,138359.47,C621430411,149278.0,10918.53,C1830617747,88039.77,226399.24,0,0
