step,amount,newbalanceOrig,newbalanceDest,isFraud,type_CASH_OUT,type_TRANSFER
476,219146.41,0.0,3568589.53,0,1,0
306,796308.52,0.0,1274377.16,0,0,1
321,66773.25,0.0,263852.72,0,1,0
352,147345.61,0.0,942219.31,0,1,0
355,217972.47,37323.53,243812.06,0,1,0
283,1418737.2,0.0,3389950.67,0,0,1
226,179870.9,221964.1,754982.99,0,1,0
187,1368395.88,0.0,1445473.82,0,0,1
329,49206.2,0.0,177041.36,0,1,0
259,140933.85,0.0,264764.06,0,1,0
13,177352.34,0.0,925000.36,0,1,0
399,12732.72,0.0,1256716.72,0,1,0
211,104246.43,613804.57,1631003.84,0,0,1
375,384863.1,0.0,7025068.45,0,1,0
356,478271.34,0.0,4716234.45,0,1,0
324,349881.58,0.0,472666.41,0,1,0
180,276762.02,0.0,1269971.73,0,1,0
181,279441.45,0.0,854451.59,0,1,0
236,513968.62,0.0,1288327.15,0,0,1
594,678825.61,0.0,1454023.98,0,0,1
281,148126.33,0.0,148126.33,0,0,1
39,88025.33,0.0,1726429.48,0,1,0
19,430253.29,0.0,436588.76,0,1,0
187,142213.71,0.0,443141.18,0,1,0
396,546605.74,0.0,2315865.12,0,0,1
355,23056.78,0.0,493137.43,0,1,0
16,367532.85,0.0,1520664.12,0,1,0
45,66845.86,0.0,219920.16,0,0,1
21,364785.87,0.0,6796033.55,0,1,0
141,139406.62,0.0,1469244.04,0,1,0
495,2308797.09,0.0,2357613.52,0,0,1
349,211188.14,0.0,930062.02,0,1,0
370,811227.64,0.0,2545301.04,0,0,1
355,241671.91,2189.09,241671.91,0,1,0
308,47304.41,0.0,828109.94,0,1,0
258,138836.27,0.0,138836.27,0,1,0
18,71160.84,0.0,1346284.97,0,1,0
34,156966.08,0.0,161317.82,0,1,0
204,306498.65,0.0,417731.86,0,1,0
18,449435.01,0.0,1233024.24,0,1,0
204,46123.35,0.0,6726995.88,0,1,0
231,310335.51,0.0,1618781.51,0,1,0
304,141915.82,0.0,1506851.58,0,0,1
162,161301.76,0.0,471393.93,0,1,0
276,44275.46,0.0,6589927.83,0,0,1
186,430698.8,0.0,7275543.93,0,0,1
281,337004.97,0.0,343715.23,0,1,0
349,227644.82,0.0,652744.29,0,0,1
138,31554.73,240841.36,31554.73,0,1,0
132,59960.46,754303.06,1926467.23,0,1,0
226,286860.68,0.0,394426.74,0,1,0
203,274946.22,0.0,1988671.45,0,0,1
398,1264586.19,0.0,3011874.36,0,0,1
403,1600341.88,0.0,2647034.88,0,0,1
160,492269.68,0.0,1255340.69,0,1,0
158,134338.09,0.0,1263103.46,0,1,0
